file,iterations_per_move,game_index,game_total,llm_side,winner,llm_result
output5.txt,50,1,50,first,-1,win
output5.txt,50,2,50,second,1,win
output5.txt,50,3,50,first,-1,win
output5.txt,50,4,50,second,1,win
output5.txt,50,5,50,first,-1,win
output5.txt,50,6,50,second,1,win
output5.txt,50,7,50,first,-1,win
output5.txt,50,8,50,second,1,win
output5.txt,50,9,50,first,-1,win
output5.txt,50,10,50,second,-1,loss
output5.txt,50,11,50,first,-1,win
output5.txt,50,12,50,second,1,win
output5.txt,50,13,50,first,-1,win
output5.txt,50,14,50,second,-1,loss
output5.txt,50,15,50,first,-1,win
output5.txt,50,16,50,second,-1,loss
output5.txt,50,17,50,first,-1,win
output5.txt,50,18,50,second,1,win
output5.txt,50,19,50,first,-1,win
output5.txt,50,20,50,second,1,win
output5.txt,50,21,50,first,-1,win
output5.txt,50,22,50,second,-1,loss
output5.txt,50,23,50,first,-1,win
output5.txt,50,24,50,second,1,win
output5.txt,50,25,50,first,-1,win
output5.txt,50,26,50,second,1,win
output5.txt,50,27,50,first,-1,win
output5.txt,50,28,50,second,1,win
output5.txt,50,29,50,first,-1,win
output5.txt,50,30,50,second,1,win
output5.txt,50,31,50,first,-1,win
output5.txt,50,32,50,second,1,win
output5.txt,50,33,50,first,-1,win
output5.txt,50,34,50,second,-1,loss
output5.txt,50,35,50,first,-1,win
output5.txt,50,36,50,second,1,win
output5.txt,50,37,50,first,-1,win
output5.txt,50,38,50,second,1,win
output5.txt,50,39,50,first,1,loss
output5.txt,50,40,50,second,-1,loss
output5.txt,50,41,50,first,-1,win
output5.txt,50,42,50,second,1,win
output5.txt,50,43,50,first,-1,win
output5.txt,50,44,50,second,-1,loss
output5.txt,50,45,50,first,-1,win
output5.txt,50,46,50,second,-1,loss
output5.txt,50,47,50,first,-1,win
output5.txt,50,48,50,second,1,win
output5.txt,50,49,50,first,-1,win
output5.txt,50,50,50,second,1,win
output4.txt,100,1,50,first,-1,win
output4.txt,100,2,50,second,-1,loss
output4.txt,100,3,50,first,-1,win
output4.txt,100,4,50,second,1,win
output4.txt,100,5,50,first,-1,win
output4.txt,100,6,50,second,-1,loss
output4.txt,100,7,50,first,-1,win
output4.txt,100,8,50,second,1,win
output4.txt,100,9,50,first,-1,win
output4.txt,100,10,50,second,1,win
output4.txt,100,11,50,first,-1,win
output4.txt,100,12,50,second,-1,loss
output4.txt,100,13,50,first,-1,win
output4.txt,100,14,50,second,-1,loss
output4.txt,100,15,50,first,-1,win
output4.txt,100,16,50,second,1,win
output4.txt,100,17,50,first,-1,win
output4.txt,100,18,50,second,1,win
output4.txt,100,19,50,first,-1,win
output4.txt,100,20,50,second,1,win
output4.txt,100,21,50,first,-1,win
output4.txt,100,22,50,second,1,win
output4.txt,100,23,50,first,-1,win
output4.txt,100,24,50,second,-1,loss
output4.txt,100,25,50,first,1,loss
output4.txt,100,26,50,second,-1,loss
output4.txt,100,27,50,first,-1,win
output4.txt,100,28,50,second,-1,loss
output4.txt,100,29,50,first,-1,win
output4.txt,100,30,50,second,1,win
output4.txt,100,31,50,first,1,loss
output4.txt,100,32,50,second,-1,loss
output4.txt,100,33,50,first,-1,win
output4.txt,100,34,50,second,1,win
output4.txt,100,35,50,first,-1,win
output4.txt,100,36,50,second,1,win
output4.txt,100,37,50,first,1,loss
output4.txt,100,38,50,second,1,win
output4.txt,100,39,50,first,1,loss
output4.txt,100,40,50,second,1,win
output4.txt,100,41,50,first,-1,win
output4.txt,100,42,50,second,1,win
output4.txt,100,43,50,first,-1,win
output4.txt,100,44,50,second,1,win
output4.txt,100,45,50,first,-1,win
output4.txt,100,46,50,second,-1,loss
output4.txt,100,47,50,first,-1,win
output4.txt,100,48,50,second,1,win
output4.txt,100,49,50,first,-1,win
output4.txt,100,50,50,second,-1,loss
output2.txt,200,1,50,first,-1,win
output2.txt,200,2,50,second,-1,loss
output2.txt,200,3,50,first,-1,win
output2.txt,200,4,50,second,1,win
output2.txt,200,5,50,first,-1,win
output2.txt,200,6,50,second,1,win
output2.txt,200,7,50,first,-1,win
output2.txt,200,8,50,second,-1,loss
output2.txt,200,9,50,first,1,loss
output2.txt,200,10,50,second,1,win
output2.txt,200,11,50,first,-1,win
output2.txt,200,12,50,second,1,win
output2.txt,200,13,50,first,-1,win
output2.txt,200,14,50,second,-1,loss
output2.txt,200,15,50,first,1,loss
output2.txt,200,16,50,second,1,win
output2.txt,200,17,50,first,-1,win
output2.txt,200,18,50,second,1,win
output2.txt,200,19,50,first,-1,win
output2.txt,200,20,50,second,-1,loss
output2.txt,200,21,50,first,-1,win
output2.txt,200,22,50,second,1,win
output2.txt,200,23,50,first,-1,win
output2.txt,200,24,50,second,1,win
output2.txt,200,25,50,first,1,loss
output2.txt,200,26,50,second,-1,loss
output2.txt,200,27,50,first,1,loss
output2.txt,200,28,50,second,1,win
output2.txt,200,29,50,first,-1,win
output2.txt,200,30,50,second,1,win
output2.txt,200,31,50,first,-1,win
output2.txt,200,32,50,second,-1,loss
output2.txt,200,33,50,first,-1,win
output2.txt,200,34,50,second,1,win
output2.txt,200,35,50,first,-1,win
output2.txt,200,36,50,second,1,win
output2.txt,200,37,50,first,-1,win
output2.txt,200,38,50,second,1,win
output2.txt,200,39,50,first,-1,win
output2.txt,200,40,50,second,-1,loss
output2.txt,200,41,50,first,-1,win
output2.txt,200,42,50,second,-1,loss
output2.txt,200,43,50,first,1,loss
output2.txt,200,44,50,second,1,win
output2.txt,200,45,50,first,-1,win
output2.txt,200,46,50,second,1,win
output2.txt,200,47,50,first,1,loss
output2.txt,200,48,50,second,1,win
output2.txt,200,49,50,first,1,loss
output2.txt,200,50,50,second,1,win
output3.txt,400,1,50,first,-1,win
output3.txt,400,2,50,second,1,win
output3.txt,400,3,50,first,-1,win
output3.txt,400,4,50,second,1,win
output3.txt,400,5,50,first,1,loss
output3.txt,400,6,50,second,1,win
output3.txt,400,7,50,first,-1,win
output3.txt,400,8,50,second,-1,loss
output3.txt,400,9,50,first,-1,win
output3.txt,400,10,50,second,1,win
output3.txt,400,11,50,first,1,loss
output3.txt,400,12,50,second,1,win
output3.txt,400,13,50,first,-1,win
output3.txt,400,14,50,second,-1,loss
output3.txt,400,15,50,first,-1,win
output3.txt,400,16,50,second,1,win
output3.txt,400,17,50,first,-1,win
output3.txt,400,18,50,second,1,win
output3.txt,400,19,50,first,1,loss
output3.txt,400,20,50,second,1,win
output3.txt,400,21,50,first,1,loss
output3.txt,400,22,50,second,1,win
output3.txt,400,23,50,first,-1,win
output3.txt,400,24,50,second,1,win
output3.txt,400,25,50,first,-1,win
output3.txt,400,26,50,second,1,win
output3.txt,400,27,50,first,-1,win
output3.txt,400,28,50,second,-1,loss
output3.txt,400,29,50,first,-1,win
output3.txt,400,30,50,second,1,win
output3.txt,400,31,50,first,1,loss
output3.txt,400,32,50,second,1,win
output3.txt,400,33,50,first,-1,win
output3.txt,400,34,50,second,1,win
